inc 20250203T133852Z - 20250203T134238Z # "description:Update todo list" project:ADM "uuid:e6948ed3-8663-41d5-ac27-62360fe3be98"
inc 20250203T134240Z - 20250203T135744Z # bathroom
inc 20250203T135744Z - 20250203T141416Z # "description:Submit timesheet" project:ADM "uuid:6e1fcf0e-aeca-4f78-be43-f519d622c5e7"
inc 20250203T141416Z - 20250203T142118Z # "description:approve timesheets" project:ADM "uuid:736ce43a-9878-49d4-a0bf-c303d152906b"
inc 20250203T142118Z - 20250203T142718Z # "description:prep for meeting" project:CMT "uuid:ef09c7ca-e7ab-4fe0-b145-02a6e2b70e07"
inc 20250203T142718Z - 20250203T143158Z # "description:kickoff training" project:CHAMFR tag:Anna "uuid:023e5fe5-fae7-412c-9155-b85e17d5799f"
inc 20250203T143158Z - 20250203T144420Z # "description:perform IQ and peel testing for pouch sealing" project:CHAMFR "uuid:fb423ac3-10bd-4bac-b42f-cf838e567ac8"
inc 20250203T144420Z - 20250203T145325Z # "description:Dashboard Discussion" project:CELOXIS tag:meeting "uuid:083478d9-eacd-40fe-a6ec-7287977c65e4"
inc 20250203T145325Z - 20250203T145648Z # "description:release protocol" project:TIS "uuid:52a52cf8-f85d-4cb8-8b17-e869412a787b"
inc 20250203T145648Z - 20250203T150537Z # "description:Dashboard Discussion" project:CELOXIS tag:meeting "uuid:083478d9-eacd-40fe-a6ec-7287977c65e4"
inc 20250203T150537Z - 20250203T150928Z # "description:perform IQ and peel testing for pouch sealing" project:CHAMFR "uuid:fb423ac3-10bd-4bac-b42f-cf838e567ac8"
inc 20250203T150928Z - 20250203T153256Z # "description:Dashboard Discussion" project:CELOXIS tag:meeting "uuid:083478d9-eacd-40fe-a6ec-7287977c65e4"
inc 20250203T153256Z - 20250203T160516Z # "description:Base magnetic break fixture discussion" project:TIS tag:meeting "uuid:4bfe7cb3-1111-4c51-9979-f9a6f2254c84"
inc 20250203T160516Z - 20250203T171954Z # "description:generate base torque limiting fixture" project:TIS "uuid:d319b3af-f2f9-463a-990a-b2a4d75058b5"
inc 20250203T173853Z - 20250203T175134Z # "description:fix shipping documentation for BNUs" project:CMT "uuid:c2923812-dbfc-456a-9b84-4d7e309cd1d4"
inc 20250203T175134Z - 20250203T175512Z # "description:perform IQ and peel testing for pouch sealing" project:CHAMFR "uuid:fb423ac3-10bd-4bac-b42f-cf838e567ac8"
inc 20250203T175512Z - 20250203T181109Z # "description:manufacture 9Fr catheters" project:CHAMFR "uuid:c5e75ede-9a00-4d1e-a40b-ab05292b13b9"
inc 20250203T181109Z - 20250203T190459Z # "description:generate base torque limiting fixture" project:TIS "uuid:d319b3af-f2f9-463a-990a-b2a4d75058b5"
inc 20250203T190459Z - 20250203T192338Z # "description:update dashboards" project:CELOXIS "uuid:801815df-6512-4f22-b8c3-fd89dd7daef2"
inc 20250203T192338Z - 20250203T193000Z # "description:look at improving budget reporting" project:CELOXIS "uuid:b054e909-bf17-4614-b1fb-55f8e0b8d64a"
inc 20250203T193000Z - 20250203T194121Z # "description:approve timesheets" project:ADM "uuid:736ce43a-9878-49d4-a0bf-c303d152906b"
inc 20250203T194121Z - 20250203T202148Z # "description:create gen 1 EU quality plan" project:CMT "uuid:8c83b721-f396-4352-ba41-037efb27a538"
inc 20250203T202148Z - 20250203T202345Z # "description:generate base torque limiting fixture" project:TIS "uuid:d319b3af-f2f9-463a-990a-b2a4d75058b5"
inc 20250203T202345Z - 20250203T202433Z # "description:create gen 1 EU quality plan" project:CMT "uuid:8c83b721-f396-4352-ba41-037efb27a538"
inc 20250203T202434Z - 20250203T203729Z # "description:update packaging reference numbers for seaboard" project:TIS "uuid:54beae05-dd31-4535-ae82-18e4d35e3949"
inc 20250203T203729Z - 20250203T204309Z # "description:generate base torque limiting fixture" project:TIS "uuid:d319b3af-f2f9-463a-990a-b2a4d75058b5"
inc 20250203T204309Z - 20250203T214551Z # "description:create gen 1 EU quality plan" project:CMT "uuid:8c83b721-f396-4352-ba41-037efb27a538"
inc 20250203T214551Z - 20250203T220849Z # "description:generate base torque limiting fixture" project:TIS "uuid:d319b3af-f2f9-463a-990a-b2a4d75058b5"
inc 20250204T134126Z - 20250204T134752Z # "description:Update todo list" project:ADM "uuid:e6948ed3-8663-41d5-ac27-62360fe3be98"
inc 20250204T134752Z - 20250204T135730Z # "description:generate base torque limiting fixture" project:TIS "uuid:d319b3af-f2f9-463a-990a-b2a4d75058b5"
inc 20250204T135730Z - 20250204T143318Z # "description:Team Huddle" project:TIS tag:meeting "uuid:a338f888-682a-429a-a508-ea99021e2d6e"
inc 20250204T143318Z - 20250204T144841Z # "description:generate base torque limiting fixture" project:TIS "uuid:d319b3af-f2f9-463a-990a-b2a4d75058b5"
